Store,Date,Forecast,Weekly_Sales,Absolute_Error,Window,WAPE
1,2012-05-04,1810498.8766698702,1684519.99,125978.88666987023,1,0.07478622243590605
1,2012-05-11,1753859.0337223078,1611096.05,142762.98372230772,1,0.08861233551054123
1,2012-05-18,1547416.2356992057,1595901.87,48485.63430079445,1,0.03038133810871119
1,2012-05-25,1542387.6476675295,1555444.55,13056.90233247052,1,0.00839432195282726
1,2012-06-01,1619849.3936729801,1624477.58,4628.186327019939,1,0.0028490305954360657
1,2012-06-01,1620738.7599552756,1624477.58,3738.8200447245035,2,0.0023015522594805548
1,2012-06-08,1762405.252264754,1697230.96,65174.29226475395,1,0.038400367304608884
1,2012-06-08,1679525.710873453,1697230.96,17705.249126547016,2,0.010431844306297015
1,2012-06-15,1662783.98100173,1630607.0,32176.981001730077,1,0.01973313066957892
1,2012-06-15,1596994.0716882702,1630607.0,33612.928311729804,2,0.020613752002616084
1,2012-06-22,1627532.0650597152,1527845.81,99686.25505971513,1,0.06524627970129729
1,2012-06-22,1568394.7802451844,1527845.81,40548.97024518438,2,0.026539962331136265
1,2012-06-29,1546432.1896096417,1540421.49,6010.699609641684,2,0.0039019837418924116
1,2012-06-29,1515283.4709444323,1540421.49,25138.01905556768,3,0.01631892259278185
1,2012-07-06,1673763.9557182083,1769854.16,96090.20428179158,2,0.05429272448176836
1,2012-07-06,1639518.4258517711,1769854.16,130335.73414822877,3,0.0736420757675473
1,2012-07-13,1542921.903358315,1527014.04,15907.863358314848,2,0.01041762743603513
1,2012-07-13,1525156.5397515632,1527014.04,1857.500248436816,3,0.0012164264373344046
1,2012-07-20,1505891.0179718358,1497954.76,7936.257971835788,2,0.005298062520817243
1,2012-07-20,1491201.347268028,1497954.76,6753.412731972057,3,0.0045084223584776735
1,2012-07-27,1478233.715035173,1439123.71,39110.00503517315,3,0.02717626341878083
1,2012-08-03,1699562.9716340571,1631135.79,68427.18163405708,3,0.04195063467650175
1,2012-08-03,1703512.0859912073,1631135.79,72376.29599120724,4,0.04437171720155024
1,2012-08-10,1619033.6460468597,1592409.97,26623.676046859706,3,0.016719109116642684
1,2012-08-10,1615173.5300515543,1592409.97,22763.56005155435,4,0.014295037383843025
1,2012-08-17,1576403.7902436217,1597868.05,21464.259756378364,3,0.013433061482378576
1,2012-08-17,1596638.587298322,1597868.05,1229.4627016780432,4,0.000769439442561007
1,2012-08-24,1556863.0925389766,1494122.38,62740.71253897669,4,0.04199168246109579
1,2012-08-31,1682153.0779853486,1582083.4,100069.67798534874,4,0.06325183488136513
1,2012-09-07,1642502.85433905,1661767.33,19264.47566095018,4,0.011592763507361874
1,2012-09-14,1655220.323334422,1517428.87,137791.45333442185,4,0.09080587305184318
1,2012-09-21,1502304.29193301,1506126.06,3821.7680669899564,4,0.002537482199192514
2,2012-05-04,1880189.6813492312,1923957.09,43767.40865076892,1,0.022748640745812537
2,2012-05-11,1985385.0284803058,1917520.99,67864.03848030581,1,0.035391549210788985
2,2012-05-18,1859866.598199964,2000940.67,141074.0718000359,1,0.07050387545975359
2,2012-05-25,1923649.7987362114,1912791.09,10858.708736211294,1,0.005676892156691975
2,2012-06-01,2022803.5594788785,1910092.37,112711.1894788784,1,0.05900824025535393
2,2012-06-01,2085632.5435731492,1910092.37,175540.17357314914,2,0.09190140557084636
2,2012-06-08,2097833.660043272,2010216.49,87617.1700432722,1,0.043585937374970095
2,2012-06-08,2094410.582407879,2010216.49,84194.09240787895,2,0.04188309708268235
2,2012-06-15,2073648.7849019773,1962924.3,110724.48490197724,1,0.056407924086515834
2,2012-06-15,2077273.5605708559,1962924.3,114349.26057085581,2,0.05825454428928095
2,2012-06-22,2014211.0328897105,1887733.21,126477.82288971054,1,0.06699983992426056
2,2012-06-22,1967261.8996471332,1887733.21,79528.68964713323,2,0.04212919983917284
2,2012-06-29,1966579.319853307,1881046.12,85533.19985330687,2,0.045471080662980695
2,2012-06-29,1934700.3288727994,1881046.12,53654.208872799296,3,0.02852360093797131
2,2012-07-06,2013247.4039382366,2041507.4,28259.99606176326,2,0.013842710568555011
2,2012-07-06,1969917.3161880067,2041507.4,71590.08381199325,3,0.035067266379731586
2,2012-07-13,2039976.6308278113,1830075.13,209901.50082781143,2,0.11469556489072197
2,2012-07-13,1920782.5722791431,1830075.13,90707.44227914326,3,0.04956487348098286
2,2012-07-20,1905910.3387497037,1819666.46,86243.87874970376,2,0.04739543242980022
2,2012-07-20,1842175.103256603,1819666.46,22508.64325660304,3,0.012369653313609485
2,2012-07-27,1761990.9942167415,1757923.88,4067.11421674164,3,0.002313589492135257
2,2012-08-03,1931891.8834202292,1946104.64,14212.756579770707,3,0.007303182104211368
2,2012-08-03,1886456.7833217303,1946104.64,59647.85667826957,4,0.030649871261942817
2,2012-08-10,1900571.0874600618,1866719.96,33851.127460061805,3,0.01813401484176652
2,2012-08-10,1846075.3338950623,1866719.96,20644.626104937633,4,0.011059305384476434
2,2012-08-17,1927421.0335226487,1928016.01,594.9764773512725,3,0.0003085951954057023
2,2012-08-17,1881238.7870069006,1928016.01,46777.22299309936,4,0.024261843651961875
2,2012-08-24,1898119.8608073217,1876788.15,21331.710807321826,4,0.011366072834231092
2,2012-08-31,1878495.6441326556,1947083.3,68587.65586734447,4,0.03522584568792946
2,2012-09-07,1843764.8144503408,1898777.07,55012.255549659254,4,0.028972466762335218
2,2012-09-14,1783250.593507657,1814806.63,31556.036492342828,4,0.017388098528350004
2,2012-09-21,1649697.0683596926,1829415.67,179718.60164030734,4,0.09823825420731602
3,2012-05-04,436724.5381334199,439913.57,3189.0318665801315,1,0.007249223674959905
3,2012-05-11,430176.89750745555,431985.36,1808.4624925444368,1,0.004186397642143329
3,2012-05-18,408301.8356241081,418112.76,9810.924375891918,1,0.023464781069804992
3,2012-05-25,404236.9799502741,413701.29,9464.310049725871,1,0.02287715866132753
3,2012-06-01,427946.7891834969,432268.53,4321.740816503123,1,0.00999781505376559
3,2012-06-01,435606.25118336873,432268.53,3337.7211833687034,2,0.007721406837940997
3,2012-06-08,425145.36129554536,446336.8,21191.43870445463,1,0.04747858277528232
3,2012-06-08,434759.92259223165,446336.8,11576.877407768334,2,0.02593753732107309
3,2012-06-15,419674.3270256989,442074.79,22400.462974301074,1,0.050671206503996924
3,2012-06-15,432679.31262242893,442074.79,9395.47737757105,2,0.021253139943969775
3,2012-06-22,419131.6078265881,419497.95,366.34217341191834,1,0.0008732871600729356
3,2012-06-22,427190.35711160273,419497.95,7692.407111602719,2,0.018337174500144087
3,2012-06-29,406265.9197544186,422965.33,16699.410245581414,2,0.039481747228741926
3,2012-06-29,410059.37689149904,422965.33,12905.95310850098,3,0.030513028357432935
3,2012-07-06,425936.74879766593,411206.5,14730.248797665932,2,0.035822023235687984
3,2012-07-06,427791.0736083067,411206.5,16584.573608306702,3,0.0403314967256274
3,2012-07-13,400709.1306564628,416913.1,16203.969343537174,2,0.03886653919854563
3,2012-07-13,405755.8611326237,416913.1,11157.23886737629,3,0.026761545433272044
3,2012-07-20,392461.4261952319,432424.85,39963.42380476807,2,0.09241703802352726
3,2012-07-20,386532.91021109384,432424.85,45891.93978890614,3,0.10612697163196366
3,2012-07-27,410419.1335616263,389427.9,20991.233561626286,3,0.05390274698249993
3,2012-08-03,446536.4438673013,419990.29,26546.1538673013,3,0.06320658953163251
3,2012-08-03,442738.103737485,419990.29,22747.813737485034,4,0.054162713470078165
3,2012-08-10,443597.8055078535,391811.6,51786.205507853534,3,0.1321711902043062
3,2012-08-10,417908.55594917334,391811.6,26096.955949173367,4,0.06660587881822123
3,2012-08-17,415227.38519140636,394918.83,20308.55519140634,3,0.05142463121195396
3,2012-08-17,414126.51227331394,394918.83,19207.682273313927,4,0.048637038333456846
3,2012-08-24,411328.6904481135,412449.67,1120.9795518864994,4,0.002717857797986599
3,2012-08-31,427459.437945285,408838.73,18620.707945285016,4,0.04554536197019548
3,2012-09-07,411453.9944707208,408229.73,3224.2644707208383,4,0.007898161828441153
3,2012-09-14,416206.98556090926,407589.16,8617.825560909288,4,0.021143412059607496
3,2012-09-21,410766.74375506846,414392.09,3625.3462449315703,4,0.008748589397378628
4,2012-05-04,2146563.454325267,2196968.33,50404.87567473296,1,0.02294292320305453
4,2012-05-11,2240112.880183164,2127661.17,112451.7101831641,1,0.05285226415217424
4,2012-05-18,2170336.5230955575,2207214.81,36878.28690444259,1,0.016708064270573912
4,2012-05-25,2205254.723004766,2154137.67,51117.05300476588,1,0.023729705727102337
4,2012-06-01,2226935.325244908,2179360.94,47574.38524490828,1,0.021829511748938785
4,2012-06-01,2239215.3683912735,2179360.94,59854.4283912736,2,0.027464210857735937
4,2012-06-08,2334939.113115483,2245257.18,89681.9331154828,1,0.03994283323725204
4,2012-06-08,2293427.2305570836,2245257.18,48170.05055708345,2,0.021454134958866247
4,2012-06-15,2207308.182447593,2234190.93,26882.747552406974,1,0.01203243070743599
4,2012-06-15,2201150.823144949,2234190.93,33040.106855051126,2,0.014788398973158092
4,2012-06-22,2272416.0363524123,2197299.65,75116.3863524124,1,0.03418577268349012
4,2012-06-22,2248772.258527502,2197299.65,51472.608527502045,2,0.02342539331287931
4,2012-06-29,2213515.1652867026,2128362.92,85152.24528670264,2,0.04000832963520275
4,2012-06-29,2219309.001070342,2128362.92,90946.0810703421,3,0.04273053256835639
4,2012-07-06,2223955.4579552836,2224499.28,543.8220447162166,2,0.0002444694181767578
4,2012-07-06,2196879.4663774758,2224499.28,27619.81362252403,3,0.012416193554589073
4,2012-07-13,2223030.2881441857,2100252.61,122777.6781441858,2,0.05845852901674804
4,2012-07-13,2206905.075984426,2100252.61,106652.46598442597,3,0.05078078011979044
4,2012-07-20,2186636.22113991,2175563.69,11072.531139910221,2,0.005089499880332265
4,2012-07-20,2189131.269294519,2175563.69,13567.579294519033,3,0.0062363512302041745
4,2012-07-27,2154053.465946584,2048613.65,105439.8159465841,3,0.05146886331963282
4,2012-08-03,2266608.9035445377,2174514.13,92094.77354453783,3,0.04235188554260525
4,2012-08-03,2297413.318125787,2174514.13,122899.1881257873,4,0.05651799932235313
4,2012-08-10,2191459.4066607207,2193367.69,1908.2833392792381,3,0.0008700243684538082
4,2012-08-10,2196933.022262255,2193367.69,3565.3322622552514,4,0.0016255059644173255
4,2012-08-17,2238109.4071834106,2283540.3,45430.892816589214,3,0.01989493805587281
4,2012-08-17,2230561.8577737845,2283540.3,52978.442226215266,4,0.023200134556948818
4,2012-08-24,2156731.447189928,2125241.68,31489.767189927865,4,0.01481702880489708
4,2012-08-31,2238903.0140886884,2081181.35,157721.66408868833,4,0.07578468070006888
4,2012-09-07,2237511.724201922,2125104.72,112407.00420192163,4,0.052894807085987566
